"","YEAR","Stock","Lat_mean","Lon_mean","Lat_rotated","Lon_rotated","along_mean","cross_mean","Distance","Max_Lat","Min_Lat","mDepth","mSST","mBT","STRAT_BIOMASS"
"1051",1984,"104",39.715567,-71.329189,40.112486,-71.56277,619.78253,-36.079103,643.453275586999,42.6,36.416667,118.152329781681,6.71197751542149,8.36352745846721,0.0823229088996007
"1052",1985,"104",39.77619,-71.327188,40.139634,-71.537725,623.69492,-37.590467,647.126418798982,42.733333,36.25,116.634545712553,7.10691955804783,9.39640293381661,0.143609150773568
"1053",1986,"104",40.0219,-70.955692,40.331838,-70.984617,663.81985,-47.530891,689.525456894531,43.383333,36.116667,136.30110312846,8.04310687345635,9.91708849892471,0.110394560819851
"1054",1987,"104",40.036066,-70.895462,40.266707,-70.908344,670.87331,-40.091246,686.921114016513,43.416667,36.65,125.143987659943,7.26422510390575,9.01958142582206,0.107650193888648
"1055",1988,"104",39.790795,-71.457661,40.146377,-71.692028,613.39922,-43.492544,641.469474745629,42.566667,36.033333,113.455710540173,5.54462404660335,9.48995127582423,0.107047873974522
"1056",1989,"104",39.73431,-71.501916,40.081328,-71.93121,599.03124,-47.914757,625.678546388465,43.033333,36.35,125.137536306439,7.45244218662912,10.0765417900734,0.0979595848411311
"1057",1990,"104",39.631898,-71.53142,39.987997,-71.94111,593.83538,-39.665014,616.048206590475,42.183333,35.9,114.297462794418,7.21887555490658,9.14814227915832,0.0964600537634291
"1058",1991,"104",39.651802,-71.69023,39.9859,-72.05802,587.11493,-46.21777,611.37855568978,43.5,35.9,109.014117582564,7.57780150232828,9.51372085189651,0.126801343138473
"1059",1992,"104",39.834429,-71.446149,40.179794,-71.709473,614.2705,-48.591143,644.049220122675,43.066667,36.733333,120.889510103016,5.6491557937204,8.98917721125592,0.088956069758431
"1060",1993,"104",39.912339,-71.323465,40.288323,-71.681794,617.34128,-57.864389,655.814647175585,43.05,36.183333,126.340201360124,5.97323471167301,7.85880723364414,0.0892973990983194
"1061",1994,"104",39.868429,-70.478455,40.247716,-70.670086,689.61091,-36.662404,696.445419505511,43.966667,36.066667,121.035355144969,6.73597966626238,9.92991240377499,0.094855331590534
"1062",1995,"104",39.767606,-71.256495,40.208213,-71.566236,622.35335,-45.671628,652.608514199057,43.016667,35.8,114.77069629463,8.2452087126423,9.9193252476833,0.123143125590412
"1063",1996,"104",39.653765,-70.884907,40.146999,-71.156085,648.70356,-30.866304,664.386753540604,42.816667,35.883333,130.728006089423,6.51538901611175,8.60169331035032,0.0841559959763692
"1064",1997,"104",39.655033,-70.989571,40.242271,-71.352461,637.42918,-43.588934,664.840246122976,42.883333,35.716667,116.124982326749,6.38687209578337,9.39795078285416,0.0999348289971215
"1065",1998,"104",40.015248,-71.348894,40.396806,-71.644791,622.29065,-68.520931,667.954408296791,43.433333,35.766667,118.085841319028,5.43118164712734,6.86564040626588,0.109655878364723
"1066",1999,"104",39.906772,-71.180745,40.34965,-71.461027,631.70936,-57.049302,670.681505654976,43.092,35.755,110.386845369667,6.92309047294753,8.98083312852376,0.132236823712391
"1067",2000,"104",39.96029,-70.839855,40.317289,-70.948551,667.75413,-45.820491,689.798365778625,42.984667,36.277167,111.266913608244,8.2011770609048,9.90794365362535,0.122234851975738
"1068",2001,"104",39.962626,-70.904868,40.32829,-71.018337,662.17858,-47.313579,687.670812687049,43.014862,35.718105,113.934362477205,6.20073012830411,8.72981650038242,0.152146146992192
"1069",2002,"104",39.996298,-70.582817,40.357216,-70.643069,691.53726,-48.441312,707.773287243474,43.063,35.651833,111.885490438795,7.95105830609696,10.10006783918,0.143773647134734
