"","YEAR","Stock","Lat_mean","Lon_mean","Lat_rotated","Lon_rotated","along_mean","cross_mean","Distance","Max_Lat","Min_Lat","mDepth","mSST","mBT","STRAT_BIOMASS"
"69",1990,"23",41.534172,-68.072104,41.399398,-67.786681,971.85973,-111.36598,949.953552703792,42.516667,40.333333,59.6779769223547,9.33069191223164,13.6296543894378,0.212711044867072
"70",1991,"23",41.401454,-68.110649,41.304402,-67.847624,959.70303,-104.18641,938.823433378543,43.916667,40.1,70.8165217652815,15.2394539308851,12.6663945402447,0.255492369516471
"71",1992,"23",41.528227,-68.004195,41.37276,-67.701723,982.7835,-106.3472,952.784590736012,42.216667,40.6,64.4311232251952,14.1567686058706,12.4459199260257,0.182773085266983
"72",1993,"23",41.762751,-67.816021,41.567015,-67.632776,1015.0646,-120.42284,972.281289750806,44.35,39.333333,72.5857064195398,14.2726346217797,12.6580927113307,0.156741408584991
"73",1994,"23",41.45922,-68.046799,41.335347,-67.745348,973.49826,-103.31031,947.261723924159,43.866667,40.566667,68.6207815940258,14.0799765693174,12.7374972103581,0.170394722584896
"74",1995,"23",41.573805,-67.997903,41.427967,-67.673957,991.694,-109.20982,958.791877018542,43.916667,40.183333,62.4323989916257,16.1315370274509,14.0342959250023,0.149893147855135
"75",1996,"23",41.428218,-68.344679,41.348074,-68.057945,940.00475,-113.60059,930.203519121371,44.366667,37.15,59.2963256026872,13.1612428592394,11.8661307688834,0.167484466738088
"76",1997,"23",41.320366,-68.3107,41.201368,-67.960904,946.10233,-96.959724,923.999202697341,44,39.816667,62.0675144699873,15.0798147423935,13.1940368201116,0.180890603629419
"77",1998,"23",41.396008,-68.125976,41.269495,-67.836028,959.94673,-99.648591,936.723038868121,43.583333,40.533333,63.2684594057234,13.6468601999275,11.8681475686083,0.208178755848192
"78",1999,"23",41.47416,-68.11962,41.321855,-67.853425,959.73892,-105.9709,939.878306839276,42.725667,39.982167,65.8323835709608,14.8133346309507,13.6887280058998,0.204885080306441
"79",2000,"23",41.525974,-67.818837,41.329775,-67.575318,999.94418,-96.216179,956.849297296428,42.618,37.641,68.5699383361337,15.7465401859935,12.4091432797414,0.189940682428525
"80",2001,"23",41.360577,-68.149236,41.281583,-67.862332,956.48367,-101.03765,936.146831605249,42.113068,39.489128,59.5710799858362,16.2358839046481,13.1980453388454,0.215843035218222
"81",2002,"23",41.530434,-67.814193,41.355262,-67.650338,991.41176,-102.03291,954.417703805194,42.967833,40.733333,71.9324857188079,16.345740733224,13.4528631547233,0.2302328091008
"82",2003,"23",41.422402,-67.973451,41.266421,-67.717848,974.50075,-96.354404,943.432562436704,42.435667,40.6425,61.2858542826157,15.3006330699098,12.2986481414772,0.181195347114093
"83",2004,"23",41.38942,-68.325066,41.29538,-68.04243,940.12465,-108.07765,926.823116621362,42.522812,39.107445,59.2046748764023,14.6529687995811,12.0375968093219,0.205573344944034
"84",2005,"23",41.366461,-68.180967,41.270691,-67.905873,952.60839,-101.49266,932.739561254684,43.01885,39.897827,64.0261931476738,15.6056553963523,12.4116793869474,0.19000187850645
"85",2006,"23",41.282834,-68.467779,41.165384,-68.210521,922.82617,-98.208042,906.651246065638,42.195337,40.396448,58.7425993564193,16.1249077474225,13.6042612084833,0.154693415641779
"86",2007,"23",41.434372,-68.205813,41.305718,-67.916809,952.78415,-105.086,934.906053048756,42.357577,38.941215,54.6903518899653,15.2804318985688,12.861753552518,0.186376624569831
"87",2008,"23",41.481558,-67.924952,41.316457,-67.690775,981.4735,-100.24702,948.973797160595,42.35384,40.387443,58.9960152281934,14.5796907440795,11.2785851393754,0.24194160855436
"88",2009,"23",41.40548,-68.121116,41.274827,-67.81629,961.65399,-100.64193,938.302768204518,44.14564,39.841318,63.9340200134005,12.9854078876923,12.1075535566044,0.326573471710411
